"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"6.75","6.00","6.50","6.25","6.25","6.50","6.25","6.75","7.25",6.4
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"7.00","6.50","7.00","6.75","6.50","6.75","6.50","7.50","8.00",6.75
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"6.75","6.75","6.75","6.75","6.50","6.50","6.25","7.25","7.50",6.7
6,"NAGASU Mirai","USA",11,63.76,37,26.76,NA,"pc","Interpretation",NA,NA,NA,0.8,"7.00","6.75","6.75","6.75","6.25","7.00","6.50","7.50","7.50",6.75
6,"NAGASU Mirai","USA",11,63.76,37,26.76,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","3F+2T",6.8,0,1.8,NA,"2","1","2","2","2","1","2","2","2",8.6
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","3Lz",6,0,-2,NA,"-1","-3","-2","-2","-2","-2","-2","-2","-2",4
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","SpSq4",3.4,0,1.8,NA,"2","2","1","2","2","2","1","2","2",5.2
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","2A",3.5,0,-0.64,NA,"0","-0.8","-0.8","-0.8","0","0","-0.8","-0.8","-0.8",2.86
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","LSp3",2.4,0,0.1,NA,"0.5","0.5","-0.3","0","0.5","0","0","0","-0.3",2.5
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","FSSp4",3,0,0,NA,"0","0","0","0","0","0.5","0","0","0",3
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","CiSt3",3.3,0,0.5,NA,"0.5","0.5","0","0.5","0.5","0.5","0.5","1","0.5",3.8
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"ee","CCoSp4",3.5,0,-0.12,NA,"-0.3","-0.3","0","0","0","0","-0.3","-0.3","-0.3",3.38
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"pc","Skating Skills",NA,NA,NA,0.8,"7.75","7.75","7.25","8.25","8.50","7.50","6.75","7.75","7.75",7.7
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"7.50","7.00","7.00","7.75","7.50","7.25","6.00","7.00","7.25",7.15
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"7.50","7.50","6.75","7.75","8.00","7.25","6.75","7.50","7.50",7.35
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"7.25","7.75","7.00","7.75","7.50","7.75","6.50","7.50","7.50",7.5
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,NA,"pc","Interpretation",NA,NA,NA,0.8,"7.75","7.25","7.00","7.75","8.00","7.50","6.75","7.50","7.25",7.4
7,"KOSTNER Carolina","ITA",29,63.02,33.34,29.68,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","3F+2T",6.8,0,0.2,NA,"0","1","0","0","0","0","0","1","0",7
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","3Lz",6,0,-1.4,NA,"0","-2","-2","-1","-2","-1","-1","-1","-1",4.6
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","FSSp4",3,0,0.3,NA,"0.5","0","0","0.5","0.5","0","-0.3","0.5","0.5",3.3
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","SpSq4",3.4,0,1,NA,"1","1","1","1","1","1","1","1","0",4.4
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","2A",3.5,0,0.4,NA,"1","1","0","0","0","1","0","1","1",3.9
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","LSp4",2.7,0,0.5,NA,"0.5","0.5","0.5","0.5","0","0.5","0.5","0.5","0.5",3.2
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","SlSt3",3.3,0,0.5,NA,"0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","0.5",3.8
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"ee","CCoSp4",3.5,0,0.2,NA,"0.5","0","0","0.5","0","0.5","0","1","0.5",3.7
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"pc","Skating Skills",NA,NA,NA,0.8,"6.75","7.25","7.00","7.00","8.00","6.00","6.75","7.75","6.50",7.15
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"6.25","6.75","6.50","6.75","7.25","5.75","6.00","7.50","6.25",6.7
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"6.50","7.75","6.75","7.25","7.75","6.75","6.75","7.75","6.50",7.25
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"6.50","7.50","6.50","7.00","7.50","6.25","6.50","7.50","6.75",7
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,NA,"pc","Interpretation",NA,NA,NA,0.8,"6.75","7.50","6.50","7.25","8.00","6.50","6.75","7.75","6.75",7.2
8,"LEONOVA Alena","RUS",25,62.14,33.9,28.24,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","3Lz",6,0,-0.8,NA,"0","-1","0","-1","-1","-1","-2","0","-1",5.2
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","3T+3T",8,0,0.4,NA,"1","0","1","1","0","0","0","1","0",8.4
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","LSp3",2.4,0,0.6,NA,"0.5","0.5","1","1","0.5","0.5","0.5","0.5","0.5",3
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","SpSq4",3.4,0,1,NA,"1","1","1","1","1","1","2","1","1",4.4
9,"GEDEVANISHVILI Elene","GEO",16,61.92,35.8,26.12,NA,"ee","2A",3.5,0,0.2,NA,"1","-0.8","0","0","1","0","0","0","0",3.7
