competition,isu_year,is_short_program,category,event_type,judge_number,judge_name,judge_nationality
gpfra2017,1718,0,men,individual,9,NUMANOVA Saodat,UZB
gpfra2017,1718,1,women,individual,1,Daniela TACCANI,ITA
gpfra2017,1718,1,women,individual,2,Jean SENFT,CAN
gpfra2017,1718,1,women,individual,3,Elisabeth LOUESDON,FRA
gpfra2017,1718,1,women,individual,4,kozhemiakina olga,RUS
gpfra2017,1718,1,women,individual,5,Dan FANG,CHN
gpfra2017,1718,1,women,individual,6,Malgorzata SOBKOW,POL
gpfra2017,1718,1,women,individual,7,OGAWA Yuko,JPN
gpfra2017,1718,1,women,individual,8,GRAHAM Peggy,USA
gpfra2017,1718,1,women,individual,9,GUSKOV Yuri,KAZ
gpfra2017,1718,0,women,individual,1,Daniela TACCANI,ITA
gpfra2017,1718,0,women,individual,2,Jean SENFT,CAN
gpfra2017,1718,0,women,individual,3,Elisabeth LOUESDON,FRA
gpfra2017,1718,0,women,individual,4,kozhemiakina olga,RUS
gpfra2017,1718,0,women,individual,5,Dan FANG,CHN
gpfra2017,1718,0,women,individual,6,Malgorzata SOBKOW,POL
gpfra2017,1718,0,women,individual,7,OGAWA Yuko,JPN
gpfra2017,1718,0,women,individual,8,GRAHAM Peggy,USA
gpfra2017,1718,0,women,individual,9,GUSKOV Yuri,KAZ
gpfra2017,1718,1,pairs,individual,1,Daniela TACCANI,ITA
gpfra2017,1718,1,pairs,individual,2,DELFA Daniel,ESP
gpfra2017,1718,1,pairs,individual,3,TAUCHMANOVA Vera,CZE
gpfra2017,1718,1,pairs,individual,4,Anthony LEROY,FRA
gpfra2017,1718,1,pairs,individual,5,BENSON Cynthia,CAN
gpfra2017,1718,1,pairs,individual,6,kozhemiakina olga,RUS
gpfra2017,1718,1,pairs,individual,7,Dan FANG,CHN
